J1,J2,J3,J4,J5,J6,collided,contacts
-60,-60,-30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-60,-30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-60,-30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-60,-30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-60,-30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-60,0,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-60,0,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-60,0,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-60,0,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-60,0,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-60,30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-60,30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-60,30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-60,30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-60,30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-40,-30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-40,-30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-40,-30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-40,-30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-40,-30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-40,0,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-40,0,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-40,0,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-40,0,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-40,0,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-40,30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-40,30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-40,30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-40,30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-40,30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-20,-30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-20,-30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-20,-30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-20,-30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-20,-30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-20,0,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-20,0,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-20,0,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-20,0,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-20,0,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,-20,30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,-20,30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,-20,30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,-20,30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,-20,30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,0,-30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,0,-30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,0,-30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,0,-30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,0,-30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,0,0,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,0,0,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,0,0,0,0,0,1,geom_link4-ee_main(-35.245)
-60,0,0,0,0,45,1,geom_link4-ee_main(-76.452)
-60,0,0,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-60,0,30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-60,0,30,0,0,-45,1,geom_link4-ee_main(-38.066)
-60,0,30,0,0,0,1,geom_link4-ee_main(-35.245)
-60,0,30,0,0,45,1,geom_link4-ee_main(-76.452)
-60,0,30,0,0,90,1,geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871);geom_link4-ee_main(-86.871)
-40,-60,-30,0,0,-90,1,geom_link4-ee_main(-31.14);geom_link4-ee_main(-31.14)
-40,-60,-30,0,0,-45,1,geom_link4-ee_main(-38.066)
-40,-60,-30,0,0,0,1,geom_link4-ee_main(-35.245)
-40,-60,-30,0,0,45,1,geom_link4-ee_main(-76.452)
